Processes: 305 total, 2 running, 303 sleeping, 1508 threads 
2020/10/06 14:30:01
Load Avg: 2.62, 4.03, 4.61 
CPU usage: 14.10% user, 34.61% sys, 51.28% idle 
SharedLibs: 154M resident, 52M data, 12M linkedit.
MemRegions: 166522 total, 1671M resident, 54M private, 854M shared.
PhysMem: 7826M used (3311M wired), 365M unused.
VM: 1420G vsize, 1993M framework vsize, 63112809(0) swapins, 66284402(0) swapouts.
Networks: packets: 121442898/137G in, 57233235/8970M out.
Disks: 53236517/850G read, 42358067/717G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD    SYSMACH    CSW       PAGEINS IDLEW     POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
61193  CoreServicesUIAg 0.0  00:00.20 3     1   159    3232K 0B    1940K 61193 1     sleeping *0[1]       0.00000 0.00000    501 5401      271     2094       527        4141      6792       3680      56      83        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61173  gamecontrollerd  0.0  00:00.17 3     2   39     1156K 0B    504K  61173 1     sleeping *0[268]     0.00000 0.00000    247 1993      158     1598       339        8212      3498       5929      0       284       0.0   0      0      _gamecontrollerd   N/A    N/A   N/A   N/A   N/A   N/A  
61172  com.apple.hiserv 0.0  00:00.04 2     1   35     944K  0B    352K  61172 1     sleeping *0[79]      0.00000 0.00000    501 1703      135     767        124        845       1070       641       2       2         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61149  AMPLibraryAgent  0.0  00:00.41 3     1   60     9416K 0B    8832K 61149 1     sleeping  0[0]       0.00000 0.00000    501 19698     301     646        127        3214      1985       2695      938     64        0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61146  FMIPClientXPCSer 0.0  00:00.06 2     1   39     1992K 0B    1956K 61146 1     sleeping *0[1]       0.00000 0.00000    501 1867      240     150        46         773       351        288       128     0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61144  transparencyd    0.0  00:00.31 2     1   69     9352K 0B    8948K 61144 1     sleeping *0[1]       0.00000 0.00000    501 5445      222     369        112        6402      1163       2415      194     148       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61142  devicecheckd     0.0  00:00.02 2     1   48     792K  0B    752K  61142 1     sleeping  0[0]       0.00000 0.00000    501 866       124     140        44         489       320        232       19      0         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
61029  com.apple.Perfor 0.0  00:00.11 2     1   33     1564K 0B    676K  61029 1     sleeping *0[10]      0.00000 0.00000    0   2082      149     426        290        2144      1203       1563      2       8         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60967  lskdd            0.0  00:00.08 3     1   41     2488K 0B    2440K 60967 1     sleeping  0[0]       0.00000 0.00000    265 1280      126     2100       1035       1536      1274       1636      98      355       0.0   0      0      _fpsd              N/A    N/A   N/A   N/A   N/A   N/A  
60943  keyboardservices 0.0  00:00.09 2     1   43     2324K 0B    1792K 60943 1     sleeping *0[2]       0.00000 0.00000    501 6651      236     227        86         3228      804        967       101     9         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60939  siriknowledged   0.0  00:00.07 2     1   38     1976K 0B    1744K 60939 1     sleeping *0[1]       0.00000 0.00000    501 3824      242     233        83         1353      543        754       128     7         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60928  UsageTrackingAge 0.0  00:00.08 2     1   54     2208K 0B    1964K 60928 1     sleeping  0[0]       0.00000 0.00000    501 2595      193     276        87         1628      669        890       34      3         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60927  networkservicepr 0.0  00:00.09 2     1   54     3404K 0B    2840K 60927 1     sleeping  0[0]       0.00000 0.00000    501 3007      209     174        49         985       401        898       109     3         0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60845  keybagd          0.0  00:00.03 2     1   31     920K  0B    908K  60845 1     sleeping *0[1]       0.00000 0.00000    0   1219      137     263        79         685       307        277       29      1         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60844  com.apple.CodeSi 0.0  00:00.04 2     1   20     3152K 0B    3144K 60844 1     sleeping *0[16]      0.00000 0.00000    0   2508      126     190        81         2025      300        290       4       3         0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
60843  ViewBridgeAuxili 0.0  00:00.85 2     1   164    1696K 0B    936K  60843 1     sleeping *0[6321]    0.00000 0.00000    501 3471      187     32954      7032       14602     58762      20412     10      313       0.0   0      0      kurmazov           N/A    N/A   N/A   N/A   N/A   N/A  
60756  distnoted        0.0  00:00.05 2     1   31     2404K 0B    2192K 60756 1     sleeping *0[1]       0.00000 0.00000    89  1299      98      640        362        1656      888        586       3       0         0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
